Dia de Dt;Point Order;Polygon Id;Score;dia_mes_ano;Dt;State_City;Lat;Lng
14/05/2020;2;888199964bfffff;43,20%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,805409438;-35,19875727
14/05/2020;3;888199964bfffff;43,20%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,800273499;-35,1996925
14/05/2020;4;888199964bfffff;43,20%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,798528167;-35,20460255
14/05/2020;5;888199964bfffff;43,20%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,801918836;-35,2085775
14/05/2020;6;888199964bfffff;43,20%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,807054875;-35,2076423
14/05/2020;1;888199963bfffff;67,90%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,760930318;-35,20226412
14/05/2020;2;888199963bfffff;67,90%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,757539884;-35,19828954
14/05/2020;3;888199963bfffff;67,90%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,752403676;-35,19922471
14/05/2020;4;888199963bfffff;67,90%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,750657801;-35,20413443
14/05/2020;5;888199963bfffff;67,90%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,754048196;-35,2081091
14/05/2020;6;888199963bfffff;67,90%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,759184504;-35,20717396
14/05/2020;1;888199960bfffff;43,90%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,784865433;-35,20249812
14/05/2020;2;888199960bfffff;43,90%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,781474862;-35,1985234
14/05/2020;3;888199960bfffff;43,90%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,776338788;-35,19945859
14/05/2020;4;888199960bfffff;43,90%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,774593184;-35,20436848
14/05/2020;5;888199960bfffff;43,90%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,777983717;-35,20834329
14/05/2020;6;888199960bfffff;43,90%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,783119891;-35,20740812
14/05/2020;1;88819996edfffff;44,30%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,754048196;-35,2081091
14/05/2020;2;88819996edfffff;44,30%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,750657801;-35,20413443
14/05/2020;3;88819996edfffff;44,30%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,745521482;-35,20506956
14/05/2020;4;88819996edfffff;44,30%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,743775458;-35,20997934
14/05/2020;5;88819996edfffff;44,30%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,747165814;-35,2139541
14/05/2020;6;88819996edfffff;44,30%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,752302233;-35,21301899
14/05/2020;1;88819996ebfffff;39,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,748810067;-35,222839
14/05/2020;2;88819996ebfffff;39,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,745419701;-35,21886405
14/05/2020;3;88819996ebfffff;39,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,740283172;-35,21979913
14/05/2020;4;88819996ebfffff;39,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,73853691;-35,22470913
